,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
509,JARDINE MATHESON HOLDINGS LTD,BMG507361001,Hong Kong,USD,-,Equities,-,-,Industrials,0.04%
510,CK ASSET HOLDINGS LTD,KYG2177B1014,Hong Kong,HKD,-,Equities,-,-,Real Estate,0.04%
511,SIGMA HEALTHCARE LTD,AU000000SIG5,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Health Care,0.04%
512,UNIPOL ASSICURAZIONI SPA,IT0004810054,Italy,EUR,Milan Stock Exchange,Equities,Ba2,FTSE Italia All-Share Index,Financials,0.04%
513,TELE2 CLASS B,SE0005190238,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Communication Services,0.04%
514,MINEBEA MITSUMI INC,JP3906000009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.04%
515,AKER BP,NO0010345853,Norway,NOK,Oslo Stock Exchange,Equities,-,Oslo SE All-share Index,Energy,0.04%
516,HONG KONG AND CHINA GAS LTD,HK0003000038,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Utilities,0.04%
517,BUREAU VERITAS SA,FR0006174348,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Industrials,0.04%
518,MEDIBANK PRIVATE LTD,AU000000MPL3,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Financials,0.04%
519,CCL INDUSTRIES INC CLASS B,CA1249003098,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Materials,0.04%
520,BANCO COMERCIAL PORTUGUES SA,PTBCP0AM0015,Portugal,EUR,Euronext Lisbon,Equities,-,-,Financials,0.04%
521,REXEL SA,FR0010451203,France,EUR,Euronext Paris,Equities,Ba3,CAC 40 Index,Industrials,0.04%
522,APA GROUP UNITS,AU000000APA1,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Utilities,0.04%
523,HEINEKEN HOLDING NV,NL0000008977,Netherlands,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Consumer Staples,0.04%
524,OMV AG,AT0000743059,Austria,EUR,Vienna Stock Exchange,Equities,A3,Austrian Traded Index,Energy,0.04%
525,SINGAPORE AIRLINES LTD,SG1V61937297,Singapore,SGD,-,Equities,-,-,Industrials,0.04%
526,EUROFINS SCIENTIFIC,FR0014000MR3,Luxembourg,EUR,-,Equities,-,-,Health Care,0.04%
527,THE LOTTERY CORPORATION LTD,AU0000219529,Australia,AUD,-,Equities,-,-,Consumer Discretionary,0.04%
528,ADDTECH CLASS B,SE0014781795,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Industrials,0.04%
529,GILDAN ACTIVEWEAR INC,CA3759161035,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Consumer Discretionary,0.04%
530,KLEPIERRE REIT SA,FR0000121964,France,EUR,Euronext Paris,Equities,A3,CAC 40 Index,Real Estate,0.04%
531,TENARIS SA,LU2598331598,Luxembourg,EUR,-,Equities,-,-,Energy,0.04%
532,GFL ENVIRONMENTAL SUBORDINATE VOTI,CA36168Q1046,Canada,CAD,Toronto Stock Exchange,Equities,-,-,Industrials,0.04%
533,TMX GROUP LTD,CA87262K1057,Canada,CAD,Toronto Stock Exchange,Equities,B1,S&P/TSX COMPOSITE Index,Financials,0.04%
534,TORAY INDUSTRIES INC,JP3621000003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.04%
535,GRAB HOLDINGS LTD CLASS A,KYG4124C1096,Singapore,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Industrials,0.04%
536,TELENOR,NO0010063308,Norway,NOK,Oslo Stock Exchange,Equities,A3,Oslo SE All-share Index,Communication Services,0.04%
537,JAPANESE YEN,_CURRENCYJPY,Japan,JPY,-,Cash,-,-,unknown,0.04%
538,CONTINENTAL AG,DE0005439004,Germany,EUR,XETRA,Equities,Baa3,DAX Index,Consumer Discretionary,0.04%
539,PANDORA,DK0060252690,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Consumer Discretionary,0.04%
540,ORION CLASS B,FI0009014377,Finland,EUR,Helsinki Stock Exchange,Equities,-,OMX Helsinki Index,Health Care,0.04%
541,SKANSKA CLASS B,SE0000113250,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Industrials,0.04%
542,INDUSTRIVARDEN CLASS C,SE0000107203,Sweden,SEK,Stockholm Stock Exchange,Equities,A3,OMX Stockholm 30 Index,Financials,0.04%
543,SBI HOLDINGS INC,JP3436120004,Japan,JPY,Tokyo Stock Exchange,Equities,B1,TOPIX Index,Financials,0.04%
544,EPIROC CLASS B,SE0015658117,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Industrials,0.04%
545,GALP ENERGIA SGPS SA CLASS B,PTGAL0AM0009,Portugal,EUR,Euronext Lisbon,Equities,-,-,Energy,0.04%
546,WISE PLC CLASS A,JE00BQKY0816,Jersey,GBP,-,Equities,-,-,Financials,0.04%
547,FRESENIUS MEDICAL CARE AG,DE0005785802,Germany,EUR,XETRA,Equities,Ba1,DAX Index,Health Care,0.03%
548,MILLICOM INTERNATIONAL CELLULAR SA,LU0038705702,Sweden,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Communication Services,0.03%
549,MAGNUM ICE CREAM NV,NL0015002MS2,Netherlands,EUR,-,Equities,-,-,Consumer Staples,0.03%
550,EVOLUTION,SE0012673267,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Consumer Discretionary,0.03%
551,AUCKLAND INTERNATIONAL AIRPORT LTD,NZAIAE0002S6,New Zealand,NZD,New Zealand Exchange,Equities,-,-,Industrials,0.03%
552,SWEDISH ORPHAN BIOVITRUM,SE0000872095,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Health Care,0.03%
553,SKF CLASS B,SE0000108227,Sweden,SEK,Stockholm Stock Exchange,Equities,Baa1,OMX Stockholm 30 Index,Industrials,0.03%
554,HOCHTIEF AG,DE0006070006,Germany,EUR,XETRA,Equities,-,DAX Index,Industrials,0.03%
555,WH GROUP LTD,KYG960071028,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Consumer Staples,0.03%
556,MITSUBISHI CHEMICAL GROUP CORP,JP3897700005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.03%
557,MOWI,NO0003054108,Norway,NOK,Oslo Stock Exchange,Equities,-,Oslo SE All-share Index,Consumer Staples,0.03%
558,ELEMENT FLEET MANAGEMENT CORP,CA2861812014,Canada,CAD,Toronto Stock Exchange,Equities,B1,S&P/TSX COMPOSITE Index,Industrials,0.03%
559,CHIBA BANK LTD,JP3511800009,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Financials,0.03%
560,RAIFFEISEN BANK INTERNATIONAL AG,AT0000606306,Austria,EUR,Vienna Stock Exchange,Equities,A2,Austrian Traded Index,Financials,0.03%
561,MAKITA CORP,JP3862400003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.03%
562,XERO LTD,NZXROE0001S2,New Zealand,AUD,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.03%
563,QIAGEN NV,NL0015002SN0,Netherlands,EUR,-,Equities,-,DAX Index,Health Care,0.03%
564,A P MOLLER MAERSK CLASS B,DK0010244508,Denmark,DKK,Copenhagen Stock Exchange,Equities,Baa1,OMX COPENHAGEN 20 Index,Industrials,0.03%
565,TRELLEBORG CLASS B,SE0000114837,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Industrials,0.03%
566,CAPITALAND ASCENDAS REIT,SG1M77906915,Singapore,SGD,-,Equities,-,-,Real Estate,0.03%
567,AGC INC,JP3112000009,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Industrials,0.03%
568,MELROSE INDUSTRIES PLC,GB00BNGDN821,United Kingdom,GBP,-,Equities,-,-,Industrials,0.03%
569,STANTEC INC,CA85472N1096,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Industrials,0.03%
570,PRO MEDICUS LTD,AU000000PME8,Australia,AUD,-,Equities,-,-,Health Care,0.03%
571,SECURITAS CLASS B,SE0000163594,Sweden,SEK,Stockholm Stock Exchange,Equities,Baa2,OMX Stockholm 30 Index,Industrials,0.03%
572,ACCIONA SA,ES0125220311,Spain,EUR,Mercado Continuo Espana,Equities,-,IBEX 35 Index,Utilities,0.03%
573,BEIERSDORF AG,DE0005200000,Germany,EUR,XETRA,Equities,-,DAX Index,Consumer Staples,0.03%
574,ORKLA,NO0003733800,Norway,NOK,Oslo Stock Exchange,Equities,-,Oslo SE All-share Index,Consumer Staples,0.03%
575,YOKOGAWA ELECTRIC CORP,JP3955000009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.03%
576,INFRATIL LTD,NZIFTE0003S3,New Zealand,NZD,-,Equities,-,-,Financials,0.03%
577,OBIC LTD,JP3173400007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Information Technology,0.03%
578,SUBARU CORP,JP3814800003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.03%
579,SHIMIZU CORP,JP3358800005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.03%
580,STANDARD LIFE PLC,GB00BGXQNP29,United Kingdom,GBP,-,Equities,-,-,Financials,0.03%
581,SHIMANO INC,JP3358000002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.03%
582,ASSOCIATED BRITISH FOODS PLC,GB0006731235,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Consumer Staples,0.03%
583,TALANX AG,DE000TLX1005,Germany,EUR,XETRA,Equities,A3,DAX Index,Financials,0.03%
584,GALAXY ENTERTAINMENT GROUP LTD,HK0027032686,Macao,HKD,-,Equities,-,Hang Seng Index,Consumer Discretionary,0.03%
585,TOPPAN HOLDINGS INC,JP3629000005,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.03%
586,PEARSON PLC,GB0006776081,United Kingdom,GBP,London Stock Exchange,Equities,Baa1,FTSE 100 Index,Consumer Discretionary,0.03%
587,CAE INC,CA1247651088,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Industrials,0.03%
588,EQUINOX GOLD CORP,CA29446Y5020,Canada,CAD,-,Equities,-,-,Materials,0.03%
589,COLOPLAST CLASS B,DK0060448595,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Health Care,0.03%
590,ASX LTD,AU000000ASX7,Australia,AUD,Australian Stock Exchange,Equities,Aa3,ASX All Ordinaries Index,Financials,0.03%
591,INTERNATIONAL AIRLINES GROUP SA,ES0177542018,United Kingdom,EUR,London Stock Exchange,Equities,Ba2,FTSE 100 Index,Industrials,0.03%
592,HENKEL AG,DE0006048408,Germany,EUR,XETRA,Equities,A2,DAX Index,Consumer Staples,0.03%
593,SAPUTO INC,CA8029121057,Canada,CAD,Toronto Stock Exchange,Equities,B1,S&P/TSX COMPOSITE Index,Consumer Staples,0.03%
594,KNORR BREMSE AG,DE000KBX1006,Germany,EUR,XETRA,Equities,-,DAX Index,Industrials,0.03%
595,HENNES & MAURITZ CLASS B,SE0000106270,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Consumer Discretionary,0.03%
596,REDEIA CORPORACION SA,ES0173093024,Spain,EUR,Mercado Continuo Espana,Equities,-,IBEX 35 Index,Utilities,0.03%
597,ITALGAS,IT0005211237,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Utilities,0.03%
598,VICINITY CENTRES,AU000000VCX7,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Real Estate,0.03%
599,YARA INTERNATIONAL,NO0010208051,Brazil,NOK,Oslo Stock Exchange,Equities,Baa2,Oslo SE All-share Index,Materials,0.03%
600,MITSUBISHI HC CAPITAL INC,JP3499800005,Japan,JPY,Tokyo Stock Exchange,Equities,A3,TOPIX Index,Financials,0.03%
601,ELIA GROUP SA,BE0003822393,Belgium,EUR,Euronext Brussels,Equities,A3,BEL 20 Index,Utilities,0.03%
602,THE SWATCH GROUP AG,CH0012255151,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Consumer Discretionary,0.03%
603,SAINSBURY(J) PLC,GB00B019KW72,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Consumer Staples,0.03%
604,ISUZU MOTORS LTD,JP3137200006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.03%
605,BRENNTAG,DE000A1DAHH0,Germany,EUR,XETRA,Equities,Baa3,DAX Index,Industrials,0.03%
606,TRYG,DK0060636678,Denmark,DKK,Copenhagen Stock Exchange,Equities,-,OMX COPENHAGEN 20 Index,Financials,0.03%
607,KIKKOMAN CORP,JP3240400006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Staples,0.03%
608,HONGKONG LAND HOLDINGS LTD,BMG4587L1090,Hong Kong,USD,-,Equities,-,-,Real Estate,0.03%
609,STOCKLAND STAPLED UNITS LTD,AU000000SGP0,Australia,AUD,Australian Stock Exchange,Equities,A3,ASX All Ordinaries Index,Real Estate,0.03%
610,BCE INC,CA05534B7604,Canada,CAD,Toronto Stock Exchange,Equities,Baa2,S&P/TSX COMPOSITE Index,Communication Services,0.03%
611,WEST JAPAN RAILWAY,JP3659000008,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.03%
612,LIFCO CLASS B,SE0015949201,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Industrials,0.03%
613,YANGZIJIANG SHIPBUILDING (HOLDINGS,SG1U76934819,China,SGD,-,Equities,-,-,Industrials,0.03%
614,DELIVERY HERO,DE000A2E4K43,"Korea, Republic of",EUR,XETRA,Equities,-,DAX Index,Consumer Discretionary,0.03%
615,EISAI LTD,JP3160400002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Health Care,0.03%
616,FRESNILLO PLC,GB00B2QPKJ12,United Kingdom,GBP,London Stock Exchange,Equities,Baa2,FTSE 100 Index,Materials,0.03%
617,CANADIAN TIRE LTD CLASS A,CA1366812024,Canada,CAD,Toronto Stock Exchange,Equities,Baa1,S&P/TSX COMPOSITE Index,Consumer Discretionary,0.03%
618,EXOR NV,NL0012059018,Netherlands,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Financials,0.03%
619,LY CORP,JP3933800009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Communication Services,0.03%
620,DEUTSCHE LUFTHANSA AG,DE0008232125,Germany,EUR,XETRA,Equities,Ba1,DAX Index,Industrials,0.03%
621,SPIRAX GROUP PLC,GB00BWFGQN14,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Industrials,0.03%
622,YAMAHA MOTOR LTD,JP3942800008,Japan,JPY,Tokyo Stock Exchange,Equities,A3,TOPIX Index,Consumer Discretionary,0.03%
623,GROUPE BRUXELLES LAMBERT NV,BE0003797140,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Financials,0.03%
624,SANRIO LTD,JP3343200006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.03%
625,DAI NIPPON PRINTING LTD,JP3493800001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.03%
626,SHISEIDO LTD,JP3351600006,Japan,JPY,Tokyo Stock Exchange,Equities,A2,TOPIX Index,Consumer Staples,0.03%
627,SGH LTD,AU0000364754,Australia,AUD,-,Equities,-,-,Industrials,0.03%
628,SONIC HEALTHCARE LTD,AU000000SHL7,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Health Care,0.03%
629,SARTORIUS PREF AG,DE0007165631,Germany,EUR,-,Equities,-,DAX Index,Health Care,0.03%
630,LAND SECURITIES GROUP REIT PLC,GB00BYW0PQ60,United Kingdom,GBP,-,Equities,-,-,Real Estate,0.03%
631,KINGFISHER PLC,GB0033195214,United Kingdom,GBP,London Stock Exchange,Equities,Baa2,FTSE 100 Index,Consumer Discretionary,0.03%
632,SCHINDLER HOLDING AG,CH0024638212,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Industrials,0.03%
633,HAREL INSURANCE INVESTMENTS & FINA,IL0005850180,Israel,ILS,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Financials,0.03%
634,CAR GROUP LTD,AU000000CAR3,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Communication Services,0.03%
635,UNICHARM CORP,JP3951600000,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Staples,0.03%
636,IPSEN SA,FR0010259150,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Health Care,0.03%
637,HANKYU HANSHIN HOLDINGS INC,JP3774200004,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.03%
638,AVOLTA AG,CH0023405456,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Consumer Discretionary,0.03%
639,NIPPON SANSO HOLDINGS CORP,JP3711600001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.03%
640,SCHRODERS PLC,GB00BP9LHF23,United Kingdom,GBP,-,Equities,-,-,Financials,0.03%
641,RAKUTEN GROUP INC,JP3967200001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.03%
642,NIPPON PAINT HOLDINGS LTD,JP3749400002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.02%
643,RECORDATI INDUSTRIA CHIMICA E FARM,IT0003828271,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Health Care,0.02%
644,MTR CORPORATION CORP LTD,HK0066009694,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Industrials,0.02%
645,SVENSKA CELLULOSA AKTIEBOLAGET SCA,SE0000112724,Sweden,SEK,Stockholm Stock Exchange,Equities,Baa1,OMX Stockholm 30 Index,Materials,0.02%
646,AISIN CORP,JP3102000001,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Consumer Discretionary,0.02%
647,KESKO CLASS B,FI0009000202,Finland,EUR,Helsinki Stock Exchange,Equities,-,OMX Helsinki Index,Consumer Staples,0.02%
648,ZALANDO,DE000ZAL1111,Germany,EUR,XETRA,Equities,-,DAX Index,Consumer Discretionary,0.02%
649,ELISA,FI0009007884,Finland,EUR,Helsinki Stock Exchange,Equities,Baa2,OMX Helsinki Index,Communication Services,0.02%
650,AZRIELI GROUP LTD,IL0011194789,Israel,ILS,-,Equities,-,-,Real Estate,0.02%
651,NIPPON BUILDING FUND REIT INC,JP3027670003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Real Estate,0.02%
652,SARTORIUS STEDIM BIOTECH SA,FR0013154002,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Health Care,0.02%
653,IVANHOE MINES LTD CLASS A,CA46579R1047,Canada,CAD,-,Equities,-,-,Materials,0.02%
654,DESCARTES SYSTEMS GROUP INC,CA2499061083,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Information Technology,0.02%
655,EMS-CHEMIE HOLDING AG,CH0016440353,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Materials,0.02%
656,STORA ENSO CLASS R,FI0009005961,Finland,EUR,Helsinki Stock Exchange,Equities,Ba2,OMX Helsinki Index,Materials,0.02%
657,NITORI HOLDINGS LTD,JP3756100008,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.02%
658,FIRSTSERVICE SUBORDINATE VOTING CO,CA33767E2024,Canada,CAD,Toronto Stock Exchange,Equities,-,S&P/TSX COMPOSITE Index,Real Estate,0.02%
659,AMUNDI SA,FR0004125920,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Financials,0.02%
660,A P MOLLER MAERSK CLASS A,DK0010244425,Denmark,DKK,Copenhagen Stock Exchange,Equities,Baa1,OMX COPENHAGEN 20 Index,Industrials,0.02%
661,ALSTOM SA,FR0010220475,France,EUR,Euronext Paris,Equities,Baa3,CAC 40 Index,Industrials,0.02%
662,BEIJER REF CLASS B,SE0015949748,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Industrials,0.02%
663,QANTAS AIRWAYS LTD,AU000000QAN2,Australia,AUD,Australian Stock Exchange,Equities,Ba2,ASX All Ordinaries Index,Industrials,0.02%
664,IDEMITSU KOSAN LTD,JP3142500002,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Energy,0.02%
665,SCOUT24 N,DE000A12DM80,Germany,EUR,XETRA,Equities,-,DAX Index,Communication Services,0.02%
666,INDUSTRIVARDEN CLASS A,SE0000190126,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Financials,0.02%
667,JERONIMO MARTINS SA,PTJMT0AE0001,Portugal,EUR,Euronext Lisbon,Equities,-,-,Consumer Staples,0.02%
668,INDUTRADE,SE0001515552,Sweden,SEK,Stockholm Stock Exchange,Equities,-,OMX Stockholm 30 Index,Industrials,0.02%
669,COCHLEAR LTD,AU000000COH5,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Health Care,0.02%
670,TELUS,CA87971M1032,Canada,CAD,Toronto Stock Exchange,Equities,Baa1,S&P/TSX COMPOSITE Index,Communication Services,0.02%
671,DAITO TRUST CONSTRUCTION LTD,JP3486800000,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Real Estate,0.02%
672,RENAULT SA,FR0000131906,France,EUR,Euronext Paris,Equities,Ba1,CAC 40 Index,Consumer Discretionary,0.02%
673,DASSAULT AVIATION SA,FR0014004L86,France,EUR,-,Equities,-,-,Industrials,0.02%
674,GJENSIDIGE FORSIKRING,NO0010582521,Norway,NOK,Oslo Stock Exchange,Equities,A2,Oslo SE All-share Index,Financials,0.02%
675,JFE HOLDINGS INC,JP3386030005,Japan,JPY,Tokyo Stock Exchange,Equities,Baa1,TOPIX Index,Materials,0.02%
676,SITC INTERNATIONAL HOLDINGS LTD,KYG8187G1055,China,HKD,-,Equities,-,-,Industrials,0.02%
677,KAWASAKI KISEN LTD,JP3223800008,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.02%
678,DR ING HC F PORSCHE PRF AG,DE000PAG9113,Germany,EUR,-,Equities,-,DAX Index,Consumer Discretionary,0.02%
679,LOTUS BAKERIES NV,BE0003604155,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Consumer Staples,0.02%
680,NIBE INDUSTRIER CLASS B,SE0015988019,Sweden,SEK,-,Equities,-,OMX Stockholm 30 Index,Industrials,0.02%
681,GETLINK,FR0010533075,France,EUR,Euronext Paris,Equities,-,CAC 40 Index,Industrials,0.02%
682,OPC ENERGY LTD,IL0011415713,Israel,ILS,-,Equities,-,-,Utilities,0.02%
683,LUNDIN GOLD INC,CA5503711080,Canada,CAD,-,Equities,-,-,Materials,0.02%
684,BROOKFIELD RENEWABLE SUBORDINATE V,CA11285B1085,Canada,CAD,New York Stock Exchange,Equities,-,S&P 500 Index,Utilities,0.02%
685,SINO LAND LTD,HK0083000502,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Real Estate,0.02%
686,HKT TRUST AND HKT UNITS LTD,HK0000093390,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Communication Services,0.02%
687,FINANCIERE DE TUBIZE SA,BE0003823409,Belgium,EUR,Euronext Brussels,Equities,-,BEL 20 Index,Health Care,0.02%
688,CAPCOM LTD,JP3218900003,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Communication Services,0.02%
689,SYENSQO NV,BE0974464977,Belgium,EUR,Euronext Brussels,Equities,-,-,Materials,0.02%
690,REA GROUP LTD,AU000000REA9,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Communication Services,0.02%
691,ABIVAX SA,FR0012333284,France,EUR,-,Equities,-,-,Health Care,0.02%
692,EDP RENEWABLES SA,ES0127797019,Spain,EUR,Euronext Lisbon,Equities,B1,PSI 20 Index,Utilities,0.02%
693,BANCA MEDIOLANUM,IT0004776628,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Financials,0.02%
694,JAPAN POST INSURANCE LTD,JP3233250004,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Financials,0.02%
695,BARRY CALLEBAUT AG,CH0009002962,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Consumer Staples,0.02%
696,HULIC LTD,JP3360800001,Japan,JPY,Tokyo Stock Exchange,Equities,B1,TOPIX Index,Real Estate,0.02%
697,CONTACT ENERGY LTD,NZCENE0001S6,New Zealand,NZD,New Zealand Exchange,Equities,-,-,Utilities,0.02%
698,MAPFRE SA,ES0124244E34,Spain,EUR,Mercado Continuo Espana,Equities,Baa1,IBEX 35 Index,Financials,0.02%
699,PORSCHE AUTOMOBIL HOLDING PREF,DE000PAH0038,Germany,EUR,XETRA,Equities,-,DAX Index,Consumer Discretionary,0.02%
700,CANADIAN UTILITIES LTD CLASS A,CA1367178326,Canada,CAD,Toronto Stock Exchange,Equities,A2,S&P/TSX COMPOSITE Index,Utilities,0.02%
701,FUTU HOLDINGS ADR LTD,US36118L1061,Hong Kong,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Financials,0.02%
702,INPOST SA,LU2290522684,Poland,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Industrials,0.02%
703,HENSOLDT AG,DE000HAG0005,Germany,EUR,-,Equities,-,-,Industrials,0.02%
704,EVONIK INDUSTRIES AG,DE000EVNK013,Germany,EUR,XETRA,Equities,Baa2,DAX Index,Materials,0.02%
705,TOHO (TOKYO) LTD,JP3598600009,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Communication Services,0.02%
706,CAPITALAND INVESTMENT LTD,SGXE62145532,Singapore,SGD,-,Equities,-,-,Real Estate,0.02%
707,WISETECH GLOBAL LTD,AU000000WTC3,Australia,AUD,-,Equities,-,-,Information Technology,0.02%
708,WILMAR INTERNATIONAL LTD,SG1T56930848,China,SGD,-,Equities,-,-,Consumer Staples,0.02%
709,ZENSHO HOLDINGS LTD,JP3429300001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Consumer Discretionary,0.02%
710,CHEUNG KONG INFRASTRUCTURE HOLDING,BMG2178K1009,Hong Kong,HKD,-,Equities,-,Hang Seng Index,Utilities,0.02%
711,SEMBCORP INDUSTRIES LTD,SG1R50925390,Singapore,SGD,-,Equities,-,-,Utilities,0.02%
712,SODEXO SA,FR0000121220,France,EUR,Euronext Paris,Equities,A3,CAC 40 Index,Consumer Discretionary,0.02%
713,AYVENS SA,FR0013258662,France,EUR,-,Equities,-,-,Industrials,0.02%
714,BC VAUD N,CH0531751755,Switzerland,CHF,-,Equities,-,Swiss Market Index,Financials,0.02%
715,VERBUND AG,AT0000746409,Austria,EUR,Vienna Stock Exchange,Equities,Baa1,Austrian Traded Index,Utilities,0.02%
