,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
367,INFORMA PLC,GB00BMJ6DW54,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Communication Services,0.06%
368,JX ADVANCED METALS CORP,JP3379550001,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Materials,0.06%
369,DSM FIRMENICH AG,CH1216478797,Switzerland,EUR,Euronext Amsterdam,Equities,-,Amsterdam Exchanges Index,Materials,0.06%
370,TOURMALINE OIL CORP,CA89156V1067,Canada,CAD,Toronto Stock Exchange,Equities,B1,S&P/TSX COMPOSITE Index,Energy,0.06%
371,EDP ENERGIAS DE PORTUGAL SA,PTEDP0AM0009,Portugal,EUR,Euronext Lisbon,Equities,-,-,Utilities,0.06%
372,FINECOBANK BANCA FINECO,IT0000072170,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Financials,0.06%
373,SINGAPORE EXCHANGE LTD,SG1J26887955,Singapore,SGD,-,Equities,-,-,Financials,0.06%
374,SNAM,IT0003153415,Italy,EUR,Milan Stock Exchange,Equities,Baa1,FTSE Italia All-Share Index,Utilities,0.06%
375,POSTE ITALIANE,IT0003796171,Italy,EUR,Milan Stock Exchange,Equities,-,FTSE Italia All-Share Index,Financials,0.06%
376,KERRY GROUP PLC,IE0004906560,Ireland,EUR,Irish Stock Exchange,Equities,Baa2,ISEQ Irish Overall Index,Consumer Staples,0.06%
377,BT GROUP PLC,GB0030913577,United Kingdom,GBP,London Stock Exchange,Equities,Baa2,FTSE 100 Index,Communication Services,0.06%
378,WOLTERS KLUWER NV,NL0000395903,Netherlands,EUR,Euronext Amsterdam,Equities,Baa1,Amsterdam Exchanges Index,Industrials,0.06%
379,NOVA LTD,IL0010845571,Israel,ILS,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Information Technology,0.06%
380,STRAUMANN HOLDING AG,CH1175448666,Switzerland,CHF,-,Equities,-,Swiss Market Index,Health Care,0.06%
381,CELLNEX TELECOM,ES0105066007,Spain,EUR,Mercado Continuo Espana,Equities,-,IBEX 35 Index,Communication Services,0.06%
382,PERNOD RICARD SA,FR0000120693,France,EUR,Euronext Paris,Equities,Baa3,CAC 40 Index,Consumer Staples,0.06%
383,BROOKFIELD ASSET MANAGEMENT VOTING,CA1130041058,Canada,CAD,New York Stock Exchange,Equities,-,S&P 500 Index,Financials,0.06%
384,ENDESA SA,ES0130670112,Spain,EUR,Mercado Continuo Espana,Equities,Baa2,IBEX 35 Index,Utilities,0.06%
385,RENTOKIL INITIAL PLC,GB00B082RF11,United Kingdom,GBP,London Stock Exchange,Equities,Baa2,FTSE 100 Index,Industrials,0.06%
386,KAJIMA CORP,JP3210200006,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Industrials,0.06%
387,BAWAG GROUP AG,AT0000BAWAG2,Austria,EUR,Vienna Stock Exchange,Equities,-,Austrian Traded Index,Financials,0.06%
388,LOGITECH INTERNATIONAL SA,CH0025751329,Switzerland,CHF,Scoach Switzerland,Equities,-,Swiss Market Index,Information Technology,0.06%
389,SUNCORP GROUP LTD,AU000000SUN6,Australia,AUD,Australian Stock Exchange,Equities,A2,ASX All Ordinaries Index,Financials,0.06%
390,SEGRO REIT PLC,GB00B5ZN1N88,United Kingdom,GBP,London Stock Exchange,Equities,-,FTSE 100 Index,Real Estate,0.06%
391,SCENTRE GROUP UNIT,AU000000SCG8,Australia,AUD,Australian Stock Exchange,Equities,-,ASX All Ordinaries Index,Real Estate,0.06%
392,TELSTRA GROUP LTD,AU000000TLS2,Australia,AUD,Australian Stock Exchange,Equities,A2,ASX All Ordinaries Index,Communication Services,0.06%
393,KIRIN HOLDINGS LTD,JP3258000003,Japan,JPY,Tokyo Stock Exchange,Equities,A3,TOPIX Index,Consumer Staples,0.06%
