Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"XEL","XCEL ENERGY INC","Utilities","Equity","12,278,427.60","0.55","12,278,427.60","149,810.00","81.96","United States","NASDAQ","USD"
"GWW","WW GRAINGER INC","Industrials","Equity","11,884,030.02","0.53","11,884,030.02","8,849.00","1,342.98","United States","New York Stock Exchange Inc.","USD"
"FAST","FASTENAL","Industrials","Equity","11,611,366.20","0.52","11,611,366.20","238,917.00","48.60","United States","NASDAQ","USD"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","11,378,709.78","0.51","11,378,709.78","99,822.00","113.99","United States","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","10,420,869.40","0.46","10,420,869.40","19,735.00","528.04","United States","NASDAQ","USD"
"INTU","INTUIT INC","Information Technology","Equity","10,367,202.85","0.46","10,367,202.85","37,651.00","275.35","United States","NASDAQ","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","10,099,349.00","0.45","10,099,349.00","104,117.00","97.00","United States","New York Stock Exchange Inc.","USD"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","10,014,025.66","0.45","10,014,025.66","56,618.00","176.87","United States","New York Stock Exchange Inc.","USD"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","9,954,672.24","0.44","9,954,672.24","74,472.00","133.67","United States","New York Stock Exchange Inc.","USD"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","9,890,453.87","0.44","9,890,453.87","21,439.00","461.33","United States","NASDAQ","USD"
"BLK","BLACKROCK INC","Financials","Equity","9,754,171.08","0.44","9,754,171.08","9,796.00","995.73","United States","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Equity","9,703,777.14","0.43","9,703,777.14","41,787.00","232.22","United States","New York Stock Exchange Inc.","USD"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","8,861,489.56","0.40","8,861,489.56","20,966.00","422.66","United States","New York Stock Exchange Inc.","USD"
"NVR","NVR INC","Consumer Discretionary","Equity","8,688,266.73","0.39","8,688,266.73","1,287.00","6,750.79","United States","New York Stock Exchange Inc.","USD"
"SPGI","S&P GLOBAL INC","Financials","Equity","8,551,461.60","0.38","8,551,461.60","19,440.00","439.89","United States","New York Stock Exchange Inc.","USD"
"SHW","SHERWIN WILLIAMS","Materials","Equity","8,414,755.04","0.38","8,414,755.04","23,873.00","352.48","United States","New York Stock Exchange Inc.","USD"
"DECK","DECKERS OUTDOOR CORP","Consumer Discretionary","Equity","8,322,331.55","0.37","8,322,331.55","79,495.00","104.69","United States","New York Stock Exchange Inc.","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","8,302,745.40","0.37","8,302,745.40","57,570.00","144.22","United States","NASDAQ","USD"
"TER","TERADYNE INC","Information Technology","Equity","7,999,656.66","0.36","7,999,656.66","21,674.00","369.09","United States","NASDAQ","USD"
"CB","CHUBB","Financials","Equity","7,962,714.99","0.36","7,962,714.99","22,047.00","361.17","United States","New York Stock Exchange Inc.","USD"
"AEE","AMEREN CORP","Utilities","Equity","7,961,684.40","0.36","7,961,684.40","69,220.00","115.02","United States","New York Stock Exchange Inc.","USD"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","7,382,947.08","0.33","7,382,947.08","22,397.00","329.64","United States","New York Stock Exchange Inc.","USD"
"MCO","MOODYS CORP","Financials","Equity","7,080,021.34","0.32","7,080,021.34","14,434.00","490.51","United States","New York Stock Exchange Inc.","USD"
"BBY","BEST BUY INC","Consumer Discretionary","Equity","7,039,689.36","0.31","7,039,689.36","90,264.00","77.99","United States","New York Stock Exchange Inc.","USD"
"ADSK","AUTODESK INC","Information Technology","Equity","7,031,497.20","0.31","7,031,497.20","33,890.00","207.48","United States","NASDAQ","USD"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","6,897,328.50","0.31","6,897,328.50","31,690.00","217.65","United States","NASDAQ","USD"
"ECL","ECOLAB INC","Materials","Equity","6,848,811.20","0.31","6,848,811.20","24,170.00","283.36","United States","New York Stock Exchange Inc.","USD"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","6,639,626.04","0.30","6,639,626.04","48,514.00","136.86","United States","New York Stock Exchange Inc.","USD"
"EME","EMCOR GROUP INC","Industrials","Equity","6,510,242.64","0.29","6,510,242.64","8,404.00","774.66","United States","New York Stock Exchange Inc.","USD"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","6,496,696.60","0.29","6,496,696.60","11,647.00","557.80","United States","NASDAQ","USD"
"EOG","EOG RESOURCES INC","Energy","Equity","6,361,400.76","0.28","6,361,400.76","48,642.00","130.78","United States","New York Stock Exchange Inc.","USD"
"CME","CME GROUP INC CLASS A","Financials","Equity","6,305,153.40","0.28","6,305,153.40","26,649.00","236.60","United States","NASDAQ","USD"
"PAYX","PAYCHEX INC","Industrials","Equity","5,998,990.80","0.27","5,998,990.80","56,408.00","106.35","United States","NASDAQ","USD"
"JBL","JABIL INC","Information Technology","Equity","5,978,210.80","0.27","5,978,210.80","17,516.00","341.30","United States","New York Stock Exchange Inc.","USD"
"SLB","SLB NV","Energy","Equity","5,938,476.18","0.26","5,938,476.18","131,586.00","45.13","United States","New York Stock Exchange Inc.","USD"
"MRSH","MARSH INC","Financials","Equity","5,790,409.28","0.26","5,790,409.28","32,432.00","178.54","United States","New York Stock Exchange Inc.","USD"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","5,783,967.74","0.26","5,783,967.74","40,853.00","141.58","United States","New York Stock Exchange Inc.","USD"
"LULU","LULULEMON ATHLETICA INC","Consumer Discretionary","Equity","5,655,269.36","0.25","5,655,269.36","47,752.00","118.43","United States","NASDAQ","USD"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","5,109,661.37","0.23","5,109,661.37","14,927.00","342.31","United States","New York Stock Exchange Inc.","USD"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","4,763,929.24","0.21","4,763,929.24","9,739.00","489.16","United States","New York Stock Exchange Inc.","USD"
"NTAP","NETAPP INC","Information Technology","Equity","4,565,744.55","0.20","4,565,744.55","29,615.00","154.17","United States","NASDAQ","USD"
