Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"MAA","MID AMERICA APARTMENT COMMUNITIES","Real Estate","Equity","1,124,722.90","0.02","1,124,722.90","7,910.00","142.19","United States","New York Stock Exchange Inc.","USD"
"PNR","PENTAIR","Industrials","Equity","1,099,704.48","0.02","1,099,704.48","14,334.00","76.72","United States","New York Stock Exchange Inc.","USD"
"NDSN","NORDSON CORP","Industrials","Equity","1,098,217.16","0.02","1,098,217.16","3,782.00","290.38","United States","NASDAQ","USD"
"RKT","ROCKET COMPANIES INC CLASS A","Financials","Equity","1,088,571.56","0.02","1,088,571.56","69,028.00","15.77","United States","New York Stock Exchange Inc.","USD"
"IONQ","IONQ INC","Information Technology","Equity","1,083,390.72","0.02","1,083,390.72","22,056.00","49.12","United States","New York Stock Exchange Inc.","USD"
"GEN","GEN DIGITAL INC","Information Technology","Equity","1,069,707.03","0.02","1,069,707.03","40,109.00","26.67","United States","NASDAQ","USD"
"ECHO","ECHOSTAR CORP CLASS A","Communication","Equity","1,068,795.00","0.02","1,068,795.00","10,530.00","101.50","United States","NASDAQ","USD"
"DKS","DICKS SPORTING INC","Consumer Discretionary","Equity","1,062,337.64","0.02","1,062,337.64","4,498.00","236.18","United States","New York Stock Exchange Inc.","USD"
"COO","COOPER INC","Health Care","Equity","1,057,127.40","0.02","1,057,127.40","14,247.00","74.20","United States","NASDAQ","USD"
"WPC","W. P. CAREY REIT INC","Real Estate","Equity","1,052,469.24","0.02","1,052,469.24","14,757.00","71.32","United States","New York Stock Exchange Inc.","USD"
"TRU","TRANSUNION","Industrials","Equity","1,047,317.94","0.02","1,047,317.94","13,374.00","78.31","United States","New York Stock Exchange Inc.","USD"
"LULU","LULULEMON ATHLETICA INC","Consumer Discretionary","Equity","1,044,315.74","0.02","1,044,315.74","8,818.00","118.43","United States","NASDAQ","USD"
"REG","REGENCY CENTERS REIT CORP","Real Estate","Equity","1,042,845.76","0.02","1,042,845.76","12,881.00","80.96","United States","NASDAQ","USD"
"LDOS","LEIDOS HOLDINGS INC","Industrials","Equity","1,040,292.72","0.02","1,040,292.72","9,558.00","108.84","United States","New York Stock Exchange Inc.","USD"
"IOT","SAMSARA INC CLASS A","Information Technology","Equity","1,039,993.85","0.02","1,039,993.85","28,945.00","35.93","United States","New York Stock Exchange Inc.","USD"
"TYL","TYLER TECHNOLOGIES INC","Information Technology","Equity","1,037,642.20","0.02","1,037,642.20","3,262.00","318.10","United States","New York Stock Exchange Inc.","USD"
"HEI","HEICO CORP","Industrials","Equity","1,017,834.99","0.02","1,017,834.99","2,811.00","362.09","United States","New York Stock Exchange Inc.","USD"
"RPM","RPM INTERNATIONAL INC","Materials","Equity","1,016,634.96","0.02","1,016,634.96","9,108.00","111.62","United States","New York Stock Exchange Inc.","USD"
