Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"000333","MIDEA GROUP LTD A","Consumer Discretionary","Equity","17,221,396.80","0.53","17,221,396.80","1,517,992.00","11.34","China","Shenzhen Stock Exchange","CNY"
"300476","VICTORY GIANT TECHNOLOGY HUIZHOU L","Information Technology","Equity","17,218,887.04","0.53","17,218,887.04","381,860.00","45.09","China","Shenzhen Stock Exchange","CNY"
"300274","SUNGROW POWER SUPPLY LTD A","Industrials","Equity","16,982,713.71","0.52","16,982,713.71","901,755.00","18.83","China","Shenzhen Stock Exchange","CNY"
"600150","CHINA CSSC HOLDINGS LTD A","Industrials","Equity","16,959,842.06","0.52","16,959,842.06","3,350,556.00","5.06","China","Shanghai Stock Exchange","CNY"
"002463","WUS PRINTED CIRCUIT (KUNSHAN) LTD","Information Technology","Equity","16,148,221.19","0.49","16,148,221.19","839,903.00","19.23","China","Shenzhen Stock Exchange","CNY"
"300433","LENS TECHNOLOGY LTD A","Information Technology","Equity","16,097,444.66","0.49","16,097,444.66","2,155,673.00","7.47","China","Shenzhen Stock Exchange","CNY"
"301308","SHENZHEN LONGSYS ELECTRONICS LTD A","Information Technology","Equity","16,092,545.15","0.49","16,092,545.15","182,300.00","88.28","China","Shenzhen Stock Exchange","CNY"
"688072","PIOTECH INC A","Information Technology","Equity","15,322,032.34","0.47","15,322,032.34","125,009.00","122.57","China","Shanghai Stock Exchange","CNY"
"600487","HENGTONG OPTIC ELECTRIC LTD A","Information Technology","Equity","14,913,483.36","0.46","14,913,483.36","1,078,796.00","13.82","China","Shanghai Stock Exchange","CNY"
"601088","CHINA SHENHUA ENERGY LTD A","Energy","Equity","14,380,084.26","0.44","14,380,084.26","2,394,247.00","6.01","China","Shanghai Stock Exchange","CNY"
"601988","BANK OF CHINA LTD A","Financials","Equity","14,317,980.25","0.44","14,317,980.25","17,417,900.00","0.82","China","Shanghai Stock Exchange","CNY"
"601816","BEIJING-SHANGHAI HIGH SPEED RAILWA","Industrials","Equity","14,309,252.92","0.44","14,309,252.92","21,208,000.00","0.67","China","Shanghai Stock Exchange","CNY"
"000657","CHINA TUNGSTEN AND HIGHTECH MATERI","Materials","Equity","14,217,101.26","0.43","14,217,101.26","994,611.00","14.29","China","Shenzhen Stock Exchange","CNY"
"601857","PETROCHINA LTD A","Energy","Equity","14,047,602.44","0.43","14,047,602.44","10,811,398.00","1.30","China","Shanghai Stock Exchange","CNY"
"600309","WANHUA CHEMICAL GROUP LTD A","Materials","Equity","13,816,754.05","0.42","13,816,754.05","1,367,194.00","10.11","China","Shanghai Stock Exchange","CNY"
"601225","SHAANXI COAL INDUSTRY LTD A","Energy","Equity","13,427,027.26","0.41","13,427,027.26","4,239,256.00","3.17","China","Shanghai Stock Exchange","CNY"
"688498","YUANJIE SEMICONDUCTOR TECHNOLOGY L","Information Technology","Equity","13,322,835.81","0.41","13,322,835.81","55,178.00","241.45","China","Shanghai Stock Exchange","CNY"
"600919","BANK OF JIANGSU CORPORATION LTD A","Financials","Equity","13,271,213.01","0.40","13,271,213.01","8,007,673.00","1.66","China","Shanghai Stock Exchange","CNY"
"002714","MUYUAN FOODS GROUP LTD A","Consumer Staples","Equity","13,148,062.72","0.40","13,148,062.72","2,389,568.00","5.50","China","Shenzhen Stock Exchange","CNY"
"601939","CHINA CONSTRUCTION BANK CORP A","Financials","Equity","13,064,178.51","0.40","13,064,178.51","9,237,599.00","1.41","China","Shanghai Stock Exchange","CNY"
"601601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","13,046,204.94","0.40","13,046,204.94","2,988,827.00","4.36","China","Shanghai Stock Exchange","CNY"
"000001","PING AN BANK LTD A","Financials","Equity","12,882,771.91","0.39","12,882,771.91","8,506,765.00","1.51","China","Shenzhen Stock Exchange","CNY"
"002142","BANK OF NINGBO LTD A","Financials","Equity","12,875,271.69","0.39","12,875,271.69","2,874,955.00","4.48","China","Shenzhen Stock Exchange","CNY"
"688525","BIWIN STORAGE TECHNOLOGY LTD A","Information Technology","Equity","12,758,466.40","0.39","12,758,466.40","206,795.00","61.70","China","Shanghai Stock Exchange","CNY"
"300604","HANGZHOU CHANG CHUAN TECHNOLOGY LT","Information Technology","Equity","12,208,328.37","0.37","12,208,328.37","274,900.00","44.41","China","Shenzhen Stock Exchange","CNY"
"001309","SHENZHEN TECHWINSEMI TECHNOLOGY LT","Information Technology","Equity","12,019,062.74","0.37","12,019,062.74","100,600.00","119.47","China","Shenzhen Stock Exchange","CNY"
"300033","HITHINK ROYALFLUSH INFORMATION NET","Financials","Equity","11,897,021.18","0.36","11,897,021.18","326,098.00","36.48","China","Shenzhen Stock Exchange","CNY"
"601985","CHINA NATIONAL NUCLEAR POWER LTD A","Utilities","Equity","11,881,075.56","0.36","11,881,075.56","9,154,362.00","1.30","China","Shanghai Stock Exchange","CNY"
"601668","CHINA STATE CONSTRUCTION ENGINEERI","Industrials","Equity","11,807,542.27","0.36","11,807,542.27","18,051,977.00","0.65","China","Shanghai Stock Exchange","CNY"
"600406","NARI TECHNOLOGY LTD A","Industrials","Equity","11,771,578.06","0.36","11,771,578.06","3,524,775.00","3.34","China","Shanghai Stock Exchange","CNY"
"002938","AVARY HOLDING (SHENZHEN) LTD A","Information Technology","Equity","11,472,147.41","0.35","11,472,147.41","841,700.00","13.63","China","Shenzhen Stock Exchange","CNY"
"000338","WEICHAI POWER LTD A","Industrials","Equity","11,442,971.29","0.35","11,442,971.29","2,942,274.00","3.89","China","Shenzhen Stock Exchange","CNY"
"600522","JIANGSU ZHONGTIAN TECHNOLOGY LTD A","Industrials","Equity","11,378,670.61","0.35","11,378,670.61","1,497,471.00","7.60","China","Shanghai Stock Exchange","CNY"
"002281","ACCELINK TECHNOLOGIES LTD A","Information Technology","Equity","11,250,055.22","0.34","11,250,055.22","350,000.00","32.14","China","Shenzhen Stock Exchange","CNY"
"600111","CHINA NORTHERN RARE EARTH (GROUP)","Materials","Equity","11,217,908.96","0.34","11,217,908.96","1,579,840.00","7.10","China","Shanghai Stock Exchange","CNY"
"600584","JCET GROUP LTD A","Information Technology","Equity","10,976,454.94","0.33","10,976,454.94","776,300.00","14.14","China","Shanghai Stock Exchange","CNY"
"300760","SHENZHEN MINDRAY BIO-MEDICAL ELECT","Health Care","Equity","10,912,869.02","0.33","10,912,869.02","532,167.00","20.51","China","Shenzhen Stock Exchange","CNY"
"601919","COSCO SHIPPING HOLDINGS LTD A","Industrials","Equity","10,612,024.47","0.32","10,612,024.47","5,461,371.00","1.94","China","Shanghai Stock Exchange","CNY"
"600999","CHINA MERCHANTS SECURITIES LTD A","Financials","Equity","10,520,703.81","0.32","10,520,703.81","3,291,041.00","3.20","China","Shanghai Stock Exchange","CNY"
"688521","VERISILICON MICROELECTRONICS (SHAN","Information Technology","Equity","10,386,152.65","0.32","10,386,152.65","227,794.00","45.59","China","Shanghai Stock Exchange","CNY"
"000792","QINGHAI SALT LAKE INDUSTRY LTD A","Materials","Equity","10,358,981.20","0.32","10,358,981.20","2,329,947.00","4.45","China","Shenzhen Stock Exchange","CNY"
"000988","HUAGONG TECH LTD A","Information Technology","Equity","10,145,486.93","0.31","10,145,486.93","440,900.00","23.01","China","Shenzhen Stock Exchange","CNY"
"603288","FOSHAN HAI TIAN FLAVOURING & FOOD","Consumer Staples","Equity","9,960,306.00","0.30","9,960,306.00","2,014,647.00","4.94","China","Shanghai Stock Exchange","CNY"
"002352","S.F. HOLDING LTD A","Industrials","Equity","9,931,669.08","0.30","9,931,669.08","2,079,493.00","4.78","China","Shenzhen Stock Exchange","CNY"
"600887","INNER MONGOLIA YILI INDUSTRIAL GRO","Consumer Staples","Equity","9,852,214.30","0.30","9,852,214.30","2,735,289.00","3.60","China","Shanghai Stock Exchange","CNY"
"601688","HUATAI SECURITIES LTD A","Financials","Equity","9,754,377.64","0.30","9,754,377.64","3,148,535.00","3.10","China","Shanghai Stock Exchange","CNY"
"002353","YANTAI JEREH OILFIELD SERVICES GRO","Energy","Equity","9,708,203.59","0.30","9,708,203.59","448,973.00","21.62","China","Shenzhen Stock Exchange","CNY"
"600031","SANY HEAVY INDUSTRY LTD A","Industrials","Equity","9,703,169.72","0.30","9,703,169.72","3,706,589.00","2.62","China","Shanghai Stock Exchange","CNY"
"601869","YANGTZE OPTICAL FIBRE AND CABLE JO","Information Technology","Equity","9,632,046.65","0.29","9,632,046.65","140,800.00","68.41","China","Shanghai Stock Exchange","CNY"
"600989","NINGXIA BAOFENG ENERGY GROUP LTD A","Materials","Equity","9,605,848.80","0.29","9,605,848.80","3,174,560.00","3.03","China","Shanghai Stock Exchange","CNY"
"601658","POSTAL SAVINGS BANK OF CHINA LTD A","Financials","Equity","9,586,801.47","0.29","9,586,801.47","13,120,195.00","0.73","China","Shanghai Stock Exchange","CNY"
"601100","JIANGSU HENGLI HYDRAULIC LTD A","Industrials","Equity","9,510,596.31","0.29","9,510,596.31","583,715.00","16.29","China","Shanghai Stock Exchange","CNY"
"600160","ZHEJIANG JU HUA LTD A","Materials","Equity","9,445,790.35","0.29","9,445,790.35","1,169,414.00","8.08","China","Shanghai Stock Exchange","CNY"
"300857","SHARETRONIC DATA TECHNOLOGY LTD A","Information Technology","Equity","9,241,807.14","0.28","9,241,807.14","213,680.00","43.25","China","Shenzhen Stock Exchange","CNY"
"000063","ZTE CORP A","Information Technology","Equity","9,203,908.81","0.28","9,203,908.81","1,768,886.00","5.20","China","Shenzhen Stock Exchange","CNY"
"300442","RANGE INTELLIGENT COMPUTING TECHNO","Information Technology","Equity","9,149,794.47","0.28","9,149,794.47","707,400.00","12.93","China","Shenzhen Stock Exchange","CNY"
"000776","GF SECURITIES LTD A","Financials","Equity","9,049,624.52","0.28","9,049,624.52","2,583,253.00","3.50","China","Shenzhen Stock Exchange","CNY"
"688120","HWATSING TECHNOLOGY LTD A","Information Technology","Equity","8,924,888.83","0.27","8,924,888.83","215,598.00","41.40","China","Shanghai Stock Exchange","CNY"
"002080","SINOMA SCIENCE & TECHNOLOGY LTD A","Materials","Equity","8,866,257.10","0.27","8,866,257.10","732,000.00","12.11","China","Shenzhen Stock Exchange","CNY"
"601818","CHINA EVERBRIGHT BANK LTD A","Financials","Equity","8,849,500.90","0.27","8,849,500.90","20,226,026.00","0.44","China","Shanghai Stock Exchange","CNY"
"600028","CHINA PETROLEUM & CHEMICAL CORP A","Energy","Equity","8,641,604.93","0.26","8,641,604.93","12,752,191.00","0.68","China","Shanghai Stock Exchange","CNY"
"601872","CHINA MERCHANTS ENERGY SHIPPING LT","Energy","Equity","8,549,225.10","0.26","8,549,225.10","3,510,768.00","2.44","China","Shanghai Stock Exchange","CNY"
"600809","SHANXI XINGHUACUN FEN WINE FACTORY","Consumer Staples","Equity","8,491,718.33","0.26","8,491,718.33","528,008.00","16.08","China","Shanghai Stock Exchange","CNY"
"601766","CRRC CORP LTD A","Industrials","Equity","8,477,445.81","0.26","8,477,445.81","10,796,576.00","0.79","China","Shanghai Stock Exchange","CNY"
"601336","NEW CHINA LIFE INSURANCE LTD A","Financials","Equity","8,474,520.60","0.26","8,474,520.60","906,205.00","9.35","China","Shanghai Stock Exchange","CNY"
"600549","XIAMEN TUNGSTEN LTD A","Materials","Equity","8,462,220.88","0.26","8,462,220.88","699,238.00","12.10","China","Shanghai Stock Exchange","CNY"
"300014","EVE ENERGY LTD A","Industrials","Equity","8,295,590.26","0.25","8,295,590.26","919,068.00","9.03","China","Shenzhen Stock Exchange","CNY"
"600050","CHINA UNITED NETWORK COMMUNICATION","Communication","Equity","8,226,761.81","0.25","8,226,761.81","13,754,700.00","0.60","China","Shanghai Stock Exchange","CNY"
"601009","BANK OF NANJING LTD A","Financials","Equity","8,192,294.19","0.25","8,192,294.19","5,378,154.00","1.52","China","Shanghai Stock Exchange","CNY"
"600690","HAIER SMART HOME LTD A","Consumer Discretionary","Equity","8,120,049.18","0.25","8,120,049.18","2,699,300.00","3.01","China","Shanghai Stock Exchange","CNY"
"688361","SKYVERSE TECHNOLOGY LTD A","Information Technology","Equity","8,113,879.86","0.25","8,113,879.86","154,713.00","52.44","China","Shanghai Stock Exchange","CNY"
"002600","LINGYI ITECH (GUANGDONG) A","Information Technology","Equity","8,090,506.68","0.25","8,090,506.68","3,196,692.00","2.53","China","Shenzhen Stock Exchange","CNY"
"601229","BANK OF SHANGHAI LTD A","Financials","Equity","8,052,707.68","0.25","8,052,707.68","6,169,592.00","1.31","China","Shanghai Stock Exchange","CNY"
"000100","TCL TECHNOLOGY GROUP CORP A","Information Technology","Equity","8,014,794.43","0.24","8,014,794.43","9,190,072.00","0.87","China","Shenzhen Stock Exchange","CNY"
