Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ELISA","ELISA","Communication","Equity","6,482,146.70","0.04","6,482,146.70","183,215.00","35.38","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"KESKOB","KESKO CLASS B","Consumer Staples","Equity","6,430,401.60","0.04","6,430,401.60","331,464.00","19.40","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"BZFUT","CASH COLLATERAL EUR BZFUT","Cash and/or Derivatives","Cash Collateral and Margins","6,421,530.00","0.04","6,421,530.00","6,421,530.00","100.00","European Union","-","EUR"
"STERV","STORA ENSO CLASS R","Materials","Equity","6,419,037.50","0.04","6,419,037.50","693,950.00","9.25","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"AMUN","AMUNDI SA","Financials","Equity","6,384,651.85","0.04","6,384,651.85","74,197.00","86.05","France","Nyse Euronext - Euronext Paris","EUR"
"ALO","ALSTOM SA","Industrials","Equity","6,351,246.57","0.04","6,351,246.57","411,217.00","15.45","France","Nyse Euronext - Euronext Paris","EUR"
"RNO","RENAULT SA","Consumer Discretionary","Equity","6,334,340.48","0.04","6,334,340.48","244,192.00","25.94","France","Nyse Euronext - Euronext Paris","EUR"
"EDPR","EDP RENEWABLES SA","Utilities","Equity","6,263,097.30","0.04","6,263,097.30","445,455.00","14.06","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"GJF","GJENSIDIGE FORSIKRING","Financials","Equity","6,158,836.49","0.04","6,158,836.49","254,317.00","24.22","Norway","Oslo Bors Asa","NOK"
"NIBE B","NIBE INDUSTRIER CLASS B","Industrials","Equity","6,102,278.65","0.04","6,102,278.65","1,886,597.00","3.23","Sweden","Nasdaq Omx Nordic","SEK"
"INDT","INDUTRADE","Industrials","Equity","6,014,807.47","0.04","6,014,807.47","319,829.00","18.81","Sweden","Nasdaq Omx Nordic","SEK"
"BMED","BANCA MEDIOLANUM","Financials","Equity","6,009,292.80","0.04","6,009,292.80","268,272.00","22.40","Italy","Borsa Italiana","EUR"
"LOTB","LOTUS BAKERIES NV","Consumer Staples","Equity","5,972,680.00","0.04","5,972,680.00","514.00","11,620.00","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"HAG","HENSOLDT AG","Industrials","Equity","5,946,699.20","0.04","5,946,699.20","77,270.00","76.96","Germany","Xetra","EUR"
"P911","DR ING HC F PORSCHE PRF AG","Consumer Discretionary","Equity","5,938,195.20","0.04","5,938,195.20","131,376.00","45.20","Germany","Xetra","EUR"
"SYENS","SYENSQO NV","Materials","Equity","5,819,806.00","0.04","5,819,806.00","88,852.00","65.50","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"JMT","JERONIMO MARTINS SA","Consumer Staples","Equity","5,767,354.89","0.04","5,767,354.89","342,683.00","16.83","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"TUB","FINANCIERE DE TUBIZE SA","Health Care","Equity","5,499,271.20","0.03","5,499,271.20","24,162.00","227.60","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"BARN","BARRY CALLEBAUT AG","Consumer Staples","Equity","5,447,953.41","0.03","5,447,953.41","4,218.00","1,291.60","Switzerland","SIX Swiss Exchange","CHF"
"SW","SODEXO SA","Consumer Discretionary","Equity","5,426,719.00","0.03","5,426,719.00","101,434.00","53.50","France","Nyse Euronext - Euronext Paris","EUR"
"PAH3","PORSCHE AUTOMOBIL HOLDING PREF","Consumer Discretionary","Equity","5,327,889.00","0.03","5,327,889.00","191,996.00","27.75","Germany","Xetra","EUR"
"BCVN","BC VAUD N","Financials","Equity","5,160,012.26","0.03","5,160,012.26","39,917.00","129.27","Switzerland","SIX Swiss Exchange","CHF"
"AYV","AYVENS SA","Industrials","Equity","5,084,145.95","0.03","5,084,145.95","430,495.00","11.81","France","Nyse Euronext - Euronext Paris","EUR"
"ICSEAGD","BLK ICS EUR LIQ FUND AGEN ACC T0","Cash and/or Derivatives","Money Market","5,036,911.64","0.03","5,036,911.64","46,110.00","109.24","Ireland","-","EUR"
"IDR","INDRA SISTEMAS SA","Information Technology","Equity","5,016,916.30","0.03","5,016,916.30","97,039.00","51.70","Spain","Bolsa De Madrid","EUR"
"MAP","MAPFRE SA","Financials","Equity","4,897,635.67","0.03","4,897,635.67","1,116,652.00","4.39","Spain","Bolsa De Madrid","EUR"
"EVK","EVONIK INDUSTRIES AG","Materials","Equity","4,890,346.08","0.03","4,890,346.08","304,126.00","16.08","Germany","Xetra","EUR"
"DIE","DIETEREN (D) SA","Consumer Discretionary","Equity","4,644,666.00","0.03","4,644,666.00","25,890.00","179.40","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"ADP","AEROPORTS DE PARIS SA","Industrials","Equity","4,548,814.40","0.03","4,548,814.40","39,832.00","114.20","France","Nyse Euronext - Euronext Paris","EUR"
"LUND B","LUNDBERGFORETAGEN CLASS B","Financials","Equity","4,547,254.73","0.03","4,547,254.73","89,803.00","50.64","Sweden","Nasdaq Omx Nordic","SEK"
"VER","VERBUND AG","Utilities","Equity","4,476,153.80","0.03","4,476,153.80","80,797.00","55.40","Austria","Wiener Boerse Ag","EUR"
"SOF","SOFINA SA","Financials","Equity","4,394,680.80","0.03","4,394,680.80","19,174.00","229.20","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"AAF","AIRTEL AFRICA PLC","Communication","Equity","4,388,914.62","0.03","4,388,914.62","1,113,030.00","3.94","United Kingdom","London Stock Exchange","GBP"
"DEMANT","DEMANT","Health Care","Equity","4,357,315.45","0.03","4,357,315.45","116,654.00","37.35","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"VAR","VAR ENERGI","Energy","Equity","4,295,082.60","0.03","4,295,082.60","1,187,316.00","3.62","Norway","Oslo Bors Asa","NOK"
"BZU","BUZZI","Materials","Equity","4,284,440.00","0.03","4,284,440.00","93,140.00","46.00","Italy","Borsa Italiana","EUR"
"INPST","INPOST SA","Industrials","Equity","4,257,145.20","0.03","4,257,145.20","276,438.00","15.40","Netherlands","Euronext Amsterdam","EUR"
"DKK","DKK CASH","Cash and/or Derivatives","Cash","4,249,073.88","0.03","4,249,073.88","31,760,719.00","13.38","Denmark","-","DKK"
"EVD","CTS EVENTIM AG","Communication","Equity","4,236,370.60","0.03","4,236,370.60","73,612.00","57.55","Germany","Xetra","EUR"
"GFC","GECINA SA","Real Estate","Equity","4,035,594.00","0.03","4,035,594.00","55,320.00","72.95","France","Nyse Euronext - Euronext Paris","EUR"
"COV","COVIVIO SA","Real Estate","Equity","3,975,003.95","0.03","3,975,003.95","72,869.00","54.55","France","Nyse Euronext - Euronext Paris","EUR"
"BALD B","FASTIGHETS BALDER CLASS B","Real Estate","Equity","3,920,609.89","0.02","3,920,609.89","810,945.00","4.83","Sweden","Nasdaq Omx Nordic","SEK"
"CPR","DAVIDE CAMPARI MILANO NV","Consumer Staples","Equity","3,913,181.81","0.02","3,913,181.81","712,524.00","5.49","Italy","Borsa Italiana","EUR"
"RAA","RATIONAL AG","Industrials","Equity","3,852,710.00","0.02","3,852,710.00","5,882.00","655.00","Germany","Xetra","EUR"
"SAGA B","SAGAX CLASS B","Real Estate","Equity","3,814,398.79","0.02","3,814,398.79","260,650.00","14.63","Sweden","Nasdaq Omx Nordic","SEK"
"OCTV SDB","OCTAVE INTELLIGENCE SDR PLC","Information Technology","Equity","3,793,941.10","0.02","3,793,941.10","251,627.00","15.08","Sweden","Nasdaq Omx Nordic","SEK"
"BKW","BKW N AG","Utilities","Equity","3,781,195.04","0.02","3,781,195.04","25,853.00","146.26","Switzerland","SIX Swiss Exchange","CHF"
"NEM","NEMETSCHEK","Information Technology","Equity","3,752,787.50","0.02","3,752,787.50","67,375.00","55.70","Germany","Xetra","EUR"
"CSG","CSG CLASS A NV","Industrials","Equity","3,501,861.14","0.02","3,501,861.14","242,444.00","14.44","Netherlands","Euronext Amsterdam","EUR"
"BOL","BOLLORE","Energy","Equity","3,497,675.76","0.02","3,497,675.76","851,016.00","4.11","France","Nyse Euronext - Euronext Paris","EUR"
"SALM","SALMAR","Consumer Staples","Equity","3,452,872.70","0.02","3,452,872.70","84,019.00","41.10","Norway","Oslo Bors Asa","NOK"
"BIM","BIOMERIEUX SA","Health Care","Equity","3,450,151.40","0.02","3,450,151.40","48,869.00","70.60","France","Nyse Euronext - Euronext Paris","EUR"
"ROCK B","ROCKWOOL CLASS B","Industrials","Equity","3,373,526.38","0.02","3,373,526.38","118,275.00","28.52","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"CVC","CVC CAPITAL PARTNERS PLC","Financials","Equity","3,352,922.57","0.02","3,352,922.57","253,817.00","13.21","Netherlands","Euronext Amsterdam","EUR"
"LATO B","LATOUR INVESTMENT CLASS B","Industrials","Equity","3,256,881.52","0.02","3,256,881.52","183,279.00","17.77","Sweden","Nasdaq Omx Nordic","SEK"
"VSURE","VERISURE PLC","Industrials","Equity","3,243,144.68","0.02","3,243,144.68","315,481.00","10.28","Sweden","Nasdaq Omx Nordic","EUR"
"USD","USD CASH","Cash and/or Derivatives","Cash","1,821,403.36","0.01","1,821,403.36","2,084,232.00","87.39","United States","-","USD"
"RED","REDEIA CORPORACION SA","Utilities","Equity","1,633,390.20","0.01","1,633,390.20","108,315.00","15.08","Spain","Bolsa De Madrid","EUR"
"NOK","NOK CASH","Cash and/or Derivatives","Cash","1,604,927.14","0.01","1,604,927.14","18,065,829.00","8.88","Norway","-","NOK"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","1,443,605.63","0.01","1,443,605.63","15,951,085.00","9.05","Sweden","-","SEK"
"ACS.D","DERECHOS ACTIVIDADES DE CONSTRUCCI","Industrials","Equity","400,454.15","0.00","400,454.15","226,322.00","1.77","Spain","Bolsa De Madrid","EUR"
"ETD_CHF","ETD CHF BALANCE WITH 06738C","Cash and/or Derivatives","Cash","-1.34","0.00","-1.34","-1.00","108.90","Switzerland","-","CHF"
"ETD_GBP","ETD GBP BALANCE WITH 06738C","Cash and/or Derivatives","Cash","0.33","0.00","0.33","0.00","116.87","United Kingdom","-","GBP"
"ZRPU6","MSCI EUROPE INDEX SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","94,231,440.00","2,088.00","451.30","-","Eurex Deutschland","EUR"
 
