,Name,ISIN,Country,Currency,Exchange,Type of Security,Rating,Primary Listing,Industry Classification,Weighting
63,DAIICHI SANKYO LTD,JP3475350009,Japan,JPY,Tokyo Stock Exchange,Equities,A1,TOPIX Index,Pharmaceuticals,0.33%
64,ILLUMINA INC,US4523271090,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Life Sciences Tools & Services,0.33%
65,DEXCOM INC,US2521311074,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Health Care Equipment,0.33%
66,VEEVA SYSTEMS INC CLASS A,US9224751084,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Health Care Technology,0.31%
67,METTLER TOLEDO INC,US5926881054,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Life Sciences Tools & Services,0.31%
68,WEST PHARMACEUTICAL SERVICES INC,US9553061055,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Life Sciences Tools & Services,0.31%
69,ROYALTY PHARMA PLC CLASS A,GB00BMVP7Y09,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Pharmaceuticals,0.29%
70,QUEST DIAGNOSTICS INC,US74834L1008,United States,USD,New York Stock Exchange,Equities,Baa2,S&P 500 Index,Health Care Services,0.28%
71,ASTELLAS PHARMA INC,JP3942400007,Japan,JPY,Tokyo Stock Exchange,Equities,-,TOPIX Index,Pharmaceuticals,0.28%
72,LABCORP HOLDINGS INC,US5049221055,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Health Care Services,0.28%
73,INSMED INC,US4576693075,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Biotechnology,0.27%
74,MERCK,DE0006599905,Germany,EUR,XETRA,Equities,A3,DAX Index,Pharmaceuticals,0.26%
75,UNITED THERAPEUTICS CORP,US91307C1027,United States,USD,NASDAQ National Market System,Equities,-,NASDAQ Composite Index,Biotechnology,0.26%
76,KONINKLIJKE PHILIPS NV,NL0000009538,Netherlands,EUR,Euronext Amsterdam,Equities,A3,Amsterdam Exchanges Index,Health Care Equipment,0.25%
77,STERIS,IE00BFY8C754,United States,USD,New York Stock Exchange,Equities,-,S&P 500 Index,Health Care Equipment,0.25%
