Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"1303","NAN YA PLASTICS CORP","Materials","Equity","20,364,530.01","0.30","20,364,530.01","3,302,000.00","6.17","Taiwan","Taiwan Stock Exchange","TWD"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","20,068,986.64","0.30","20,068,986.64","2,142,300.00","9.37","Thailand","Stock Exchange Of Thailand","THB"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","20,065,212.54","0.30","20,065,212.54","602,781.00","33.29","India","National Stock Exchange Of India","INR"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","19,916,767.25","0.30","19,916,767.25","7,995,049.00","2.49","Kuwait","Kuwait Stock Exchange","KWD"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","19,471,863.50","0.29","19,471,863.50","227,000.00","85.78","Taiwan","Taiwan Stock Exchange","TWD"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","19,462,097.90","0.29","19,462,097.90","457,343.00","42.55","India","National Stock Exchange Of India","INR"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","19,069,918.33","0.28","19,069,918.33","1,786,260.00","10.68","India","National Stock Exchange Of India","INR"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","18,935,751.43","0.28","18,935,751.43","6,469,040.00","2.93","Taiwan","Taiwan Stock Exchange","TWD"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","18,802,239.78","0.28","18,802,239.78","1,749,600.00","10.75","Mexico","Bolsa Mexicana De Valores","MXN"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","18,781,754.58","0.28","18,781,754.58","285,898.00","65.69","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2360","CHROMA ATE INC","Information Technology","Equity","18,265,320.50","0.27","18,265,320.50","264,000.00","69.19","Taiwan","Taiwan Stock Exchange","TWD"
"SBK","STANDARD BANK GROUP","Financials","Equity","17,930,722.43","0.27","17,930,722.43","906,666.00","19.78","South Africa","Johannesburg Stock Exchange","ZAR"
"BAP","CREDICORP LTD","Financials","Equity","17,869,299.17","0.27","17,869,299.17","45,677.00","391.21","Peru","New York Stock Exchange Inc.","USD"
"CPI","CAPITEC LTD","Financials","Equity","17,448,172.70","0.26","17,448,172.70","59,645.00","292.53","South Africa","Johannesburg Stock Exchange","ZAR"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","17,046,153.31","0.25","17,046,153.31","608,682.00","28.01","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","16,829,454.26","0.25","16,829,454.26","304,437.00","55.28","Korea (South)","Korea Exchange (Stock Market)","KRW"
"MTN","MTN GROUP LTD","Communication","Equity","16,801,694.96","0.25","16,801,694.96","1,210,017.00","13.89","South Africa","Johannesburg Stock Exchange","ZAR"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","16,256,139.36","0.24","16,256,139.36","22,661.00","717.36","Korea (South)","Korea Exchange (Stock Market)","KRW"
"NBK","NATIONAL BANK OF KUWAIT","Financials","Equity","15,576,718.87","0.23","15,576,718.87","6,004,293.00","2.59","Kuwait","Kuwait Stock Exchange","KWD"
"7010","SAUDI TELECOM","Communication","Equity","15,454,822.66","0.23","15,454,822.66","1,340,763.00","11.53","Saudi Arabia","Saudi Stock Exchange","SAR"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","15,443,346.35","0.23","15,443,346.35","3,689,405.00","4.19","India","National Stock Exchange Of India","INR"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","15,264,415.53","0.23","15,264,415.53","7,410,085.00","2.06","Taiwan","Taiwan Stock Exchange","TWD"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","15,123,862.56","0.22","15,123,862.56","1,170,011.00","12.93","Mexico","Bolsa Mexicana De Valores","MXN"
"028260","SAMSUNG C&T CORP","Industrials","Equity","14,757,280.00","0.22","14,757,280.00","56,477.00","261.30","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","14,640,130.13","0.22","14,640,130.13","4,503,434.00","3.25","United Arab Emirates","Dubai Financial Market","AED"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","14,628,470.78","0.22","14,628,470.78","188,390.00","77.65","Korea (South)","Korea Exchange (Stock Market)","KRW"
"000270","KIA CORPORATION","Consumer Discretionary","Equity","14,605,307.45","0.22","14,605,307.45","156,484.00","93.33","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2887","TS FINANCIAL HOLDING LTD","Financials","Equity","14,582,337.64","0.22","14,582,337.64","14,115,040.00","1.03","Taiwan","Taiwan Stock Exchange","TWD"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","14,517,703.93","0.22","14,517,703.93","3,020,512.00","4.81","Qatar","Qatar Exchange","QAR"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","14,507,572.60","0.22","14,507,572.60","3,072,903.00","4.72","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"PKN","ORLEN SA","Energy","Equity","14,101,205.43","0.21","14,101,205.43","397,555.00","35.47","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"SBIN","STATE BANK OF INDIA","Financials","Equity","13,843,186.67","0.21","13,843,186.67","1,255,740.00","11.02","India","National Stock Exchange Of India","INR"
"6223","MPI CORP","Information Technology","Equity","13,627,612.12","0.20","13,627,612.12","60,000.00","227.13","Taiwan","Gretai Securities Market","TWD"
"AMXB","AMERICA MOVIL B","Communication","Equity","13,290,296.42","0.20","13,290,296.42","10,353,627.00","1.28","Mexico","Bolsa Mexicana De Valores","MXN"
"032830","SAMSUNG LIFE LTD","Financials","Equity","13,035,731.82","0.19","13,035,731.82","54,736.00","238.16","Korea (South)","Korea Exchange (Stock Market)","KRW"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","12,890,300.06","0.19","12,890,300.06","85,701.00","150.41","India","National Stock Exchange Of India","INR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","12,853,799.91","0.19","12,853,799.91","655,348.00","19.61","India","National Stock Exchange Of India","INR"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","12,777,255.44","0.19","12,777,255.44","180,930.00","70.62","South Africa","Johannesburg Stock Exchange","ZAR"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","12,762,208.65","0.19","12,762,208.65","40,354.00","316.26","Korea (South)","Korea Exchange (Stock Market)","KRW"
"CEMEXCPO","CEMEX CPO","Materials","Equity","12,693,359.11","0.19","12,693,359.11","10,374,460.00","1.22","Mexico","Bolsa Mexicana De Valores","MXN"
"1211","SAUDI ARABIAN MINING","Materials","Equity","12,598,767.57","0.19","12,598,767.57","803,134.00","15.69","Saudi Arabia","Saudi Stock Exchange","SAR"
"7769","HONPRECISION INC","Information Technology","Equity","12,544,728.81","0.19","12,544,728.81","57,000.00","220.08","Taiwan","Taiwan Stock Exchange","TWD"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","12,457,044.74","0.18","12,457,044.74","41,189.00","302.44","Korea (South)","Korea Exchange (Stock Market)","KRW"
"035420","NAVER CORP","Communication","Equity","12,381,413.06","0.18","12,381,413.06","96,357.00","128.50","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EAND","EMIRATES TELECOM","Communication","Equity","12,314,469.93","0.18","12,314,469.93","2,338,635.00","5.27","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"6669","WIWYNN CORPORATION","Information Technology","Equity","12,298,974.72","0.18","12,298,974.72","75,550.00","162.79","Taiwan","Taiwan Stock Exchange","TWD"
"068270","CELLTRION INC","Health Care","Equity","12,228,048.72","0.18","12,228,048.72","107,719.00","113.52","Korea (South)","Korea Exchange (Stock Market)","KRW"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","12,217,903.59","0.18","12,217,903.59","563,559.00","21.68","India","National Stock Exchange Of India","INR"
"PBBANK","PUBLIC BANK","Financials","Equity","11,883,979.41","0.18","11,883,979.41","10,017,900.00","1.19","Malaysia","Bursa Malaysia","MYR"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","11,833,242.04","0.18","11,833,242.04","8,217,029.00","1.44","Taiwan","Taiwan Stock Exchange","TWD"
"5274","ASPEED TECHNOLOGY INC","Information Technology","Equity","11,669,405.96","0.17","11,669,405.96","21,000.00","555.69","Taiwan","Gretai Securities Market","TWD"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","11,538,671.05","0.17","11,538,671.05","2,614,000.00","4.41","Taiwan","Taiwan Stock Exchange","TWD"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","11,436,487.80","0.17","11,436,487.80","243,457.00","46.98","India","National Stock Exchange Of India","INR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","11,306,879.79","0.17","11,306,879.79","487,918.00","23.17","India","National Stock Exchange Of India","INR"
"SHFL","SHRIRAM FINANCE LTD","Financials","Equity","11,277,828.81","0.17","11,277,828.81","1,008,550.00","11.18","India","National Stock Exchange Of India","INR"
"NTPC","NTPC LTD","Utilities","Equity","11,180,318.05","0.17","11,180,318.05","2,977,023.00","3.76","India","National Stock Exchange Of India","INR"
"3481","INNOLUX CORP","Information Technology","Equity","11,095,146.68","0.16","11,095,146.68","5,242,703.00","2.12","Taiwan","Taiwan Stock Exchange","TWD"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","11,002,238.65","0.16","11,002,238.65","34,131,600.00","0.32","Indonesia","Indonesia Stock Exchange","IDR"
"BEL","BHARAT ELECTRONICS LTD","Industrials","Equity","10,894,183.06","0.16","10,894,183.06","2,503,851.00","4.35","India","National Stock Exchange Of India","INR"
"034730","SK INC","Industrials","Equity","10,872,594.33","0.16","10,872,594.33","24,765.00","439.03","Korea (South)","Korea Exchange (Stock Market)","KRW"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","10,819,945.03","0.16","10,819,945.03","62,903.00","172.01","Peru","New York Stock Exchange Inc.","USD"
"EMIRATESNBD","EMIRATES NBD","Financials","Equity","10,770,542.60","0.16","10,770,542.60","1,309,887.00","8.22","United Arab Emirates","Dubai Financial Market","AED"
"MAYBANK","MALAYAN BANKING","Financials","Equity","10,750,792.65","0.16","10,750,792.65","4,084,100.00","2.63","Malaysia","Bursa Malaysia","MYR"
"ETE","NATIONAL BANK OF GREECE SA","Financials","Equity","10,433,764.88","0.15","10,433,764.88","588,450.00","17.73","Greece","Athens Exchange S.A. Cash Market","EUR"
"2890","SINOPAC FINANCIAL HOLDINGS LTD","Financials","Equity","10,378,103.31","0.15","10,378,103.31","8,392,470.00","1.24","Taiwan","Taiwan Stock Exchange","TWD"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","10,371,704.22","0.15","10,371,704.22","9,830,806.00","1.06","Taiwan","Taiwan Stock Exchange","TWD"
