Fund Holdings as of,"06/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","12,952,210.95","0.48","12,952,210.95","24,776,000.00","0.52","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1109","CHINA RESOURCES LAND LTD","Real Estate","Equity","12,837,067.12","0.48","12,837,067.12","3,132,500.00","4.10","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"300308","ZHONGJI INNOLIGHT LTD A","Information Technology","Equity","11,854,790.49","0.44","11,854,790.49","73,340.00","161.64","China","Shenzhen Stock Exchange","CNY"
"2423","KE HOLDINGS INC","Real Estate","Equity","11,232,419.68","0.42","11,232,419.68","2,205,649.00","5.09","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","10,790,322.33","0.40","10,790,322.33","554,200.00","19.47","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1888","KINGBOARD LAMINATES HOLDINGS LTD","Information Technology","Equity","10,560,357.91","0.39","10,560,357.91","1,121,500.00","9.42","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","10,425,248.13","0.39","10,425,248.13","2,891,200.00","3.61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9633","NONGFU SPRING LTD H","Consumer Staples","Equity","10,334,682.51","0.39","10,334,682.51","1,951,200.00","5.30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2338","WEICHAI POWER LTD H","Industrials","Equity","10,226,857.75","0.38","10,226,857.75","2,140,000.00","4.78","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2057","ZTO EXPRESS (CAYMAN) INC","Industrials","Equity","9,752,517.72","0.36","9,752,517.72","417,962.00","23.33","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1378","CHINA HONGQIAO GROUP LTD","Materials","Equity","9,705,812.97","0.36","9,705,812.97","3,540,500.00","2.74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6869","YANGTZE OPTICAL FIBRE AND CABLE JO","Information Technology","Equity","9,687,165.30","0.36","9,687,165.30","443,000.00","21.87","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9866","NIO CLASS A INC","Consumer Discretionary","Equity","9,561,414.09","0.36","9,561,414.09","1,938,683.00","4.93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1093","CSPC PHARMACEUTICAL GROUP LTD","Health Care","Equity","9,243,859.44","0.35","9,243,859.44","8,808,960.00","1.05","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9926","AKESO INC","Health Care","Equity","9,224,894.17","0.34","9,224,894.17","710,000.00","12.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9868","XPENG CLASS A INC","Consumer Discretionary","Equity","9,221,552.75","0.34","9,221,552.75","1,368,454.00","6.74","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2359","WUXI APPTEC LTD H","Health Care","Equity","8,861,128.68","0.33","8,861,128.68","446,920.00","19.83","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HTHT","H WORLD GROUP ADR LTD","Consumer Discretionary","Equity","8,481,690.63","0.32","8,481,690.63","201,609.00","42.07","China","NASDAQ","USD"
"688256","CAMBRICON TECHNOLOGIES CORPORATION","Information Technology","Equity","8,360,542.21","0.31","8,360,542.21","41,496.00","201.48","China","Shanghai Stock Exchange","CNY"
"3993","CMOC GROUP LTD","Materials","Equity","8,223,384.51","0.31","8,223,384.51","4,041,000.00","2.03","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2015","LI AUTO CLASS A INC","Consumer Discretionary","Equity","7,856,437.70","0.29","7,856,437.70","1,331,960.00","5.90","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"688041","HYGON INFORMATION TECHNOLOGY LTD A","Information Technology","Equity","7,655,211.92","0.29","7,655,211.92","153,522.00","49.86","China","Shanghai Stock Exchange","CNY"
"600036","CHINA MERCHANTS BANK LTD A","Financials","Equity","7,492,461.56","0.28","7,492,461.56","1,350,053.00","5.55","China","Shanghai Stock Exchange","CNY"
"998","CHINA CITIC BANK CORP LTD H","Financials","Equity","7,441,627.99","0.28","7,441,627.99","8,685,000.00","0.86","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2319","CHINA MENGNIU DAIRY LTD","Consumer Staples","Equity","7,343,359.51","0.27","7,343,359.51","3,291,000.00","2.23","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3328","BANK OF COMMUNICATIONS LTD H","Financials","Equity","7,298,849.90","0.27","7,298,849.90","8,634,000.00","0.85","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1177","SINO BIOPHARMACEUTICAL LTD","Health Care","Equity","7,096,773.47","0.26","7,096,773.47","11,021,500.00","0.64","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9901","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","6,866,366.65","0.26","6,866,366.65","1,429,940.00","4.80","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"300502","EOPTOLINK TECHNOLOGY INC LTD A","Information Technology","Equity","6,853,471.94","0.26","6,853,471.94","91,920.00","74.56","China","Shenzhen Stock Exchange","CNY"
"688","CHINA OVERSEAS LAND INVESTMENT LTD","Real Estate","Equity","6,684,279.85","0.25","6,684,279.85","4,180,500.00","1.60","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6690","HAIER SMART HOME CLASS H LTD H","Consumer Discretionary","Equity","6,637,707.96","0.25","6,637,707.96","2,495,600.00","2.66","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"YMM","FULL TRUCK ALLIANCE ADR LTD CLASS","Industrials","Equity","6,604,658.61","0.25","6,604,658.61","761,783.00","8.67","China","New York Stock Exchange Inc.","USD"
"267","CITIC LTD","Industrials","Equity","6,536,594.07","0.24","6,536,594.07","4,760,000.00","1.37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"601138","FOXCONN INDUSTRIAL INTERNET LTD A","Information Technology","Equity","6,505,382.83","0.24","6,505,382.83","695,500.00","9.35","China","Shanghai Stock Exchange","CNY"
"600900","CHINA YANGTZE POWER LTD A","Utilities","Equity","6,420,255.52","0.24","6,420,255.52","1,605,300.00","4.00","China","Shanghai Stock Exchange","CNY"
"1336","NEW CHINA LIFE INSURANCE COMPANY L","Financials","Equity","6,397,031.16","0.24","6,397,031.16","1,018,900.00","6.28","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6030","CITIC SECURITIES COMPANY LTD H","Financials","Equity","6,314,257.98","0.24","6,314,257.98","1,749,875.00","3.61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1339","THE PEOPLES INSURANCE CO (GROUP)","Financials","Equity","6,197,977.76","0.23","6,197,977.76","9,550,000.00","0.65","China","Hong Kong Exchanges And Clearing Ltd","HKD"
