Fund Holdings as of,"02/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"SUN","SULZER AG LTD","Industrials","Equity","10,206,217.96","0.46","10,206,217.96","60,532.00","168.61","Switzerland","SIX Swiss Exchange","CHF"
"HWKN","HAWKINS INC","Materials","Equity","10,140,653.27","0.46","10,140,653.27","73,223.00","138.49","United States","NASDAQ","USD"
"WIE","WIENERBERGER AG","Materials","Equity","10,033,887.90","0.45","10,033,887.90","386,963.00","25.93","Austria","Wiener Boerse Ag","EUR"
"ASTRAL","ASTRAL LTD","Industrials","Equity","9,271,889.27","0.42","9,271,889.27","648,818.00","14.29","India","National Stock Exchange Of India","INR"
"NWPX","NWPX INFRASTRUCTURE INC","Industrials","Equity","9,190,344.24","0.41","9,190,344.24","67,122.00","136.92","United States","NASDAQ","USD"
"LNN","LINDSAY CORP","Industrials","Equity","8,921,965.08","0.40","8,921,965.08","73,059.00","122.12","United States","New York Stock Exchange Inc.","USD"
"6498","KITZ CORP","Industrials","Equity","8,667,055.79","0.39","8,667,055.79","557,200.00","15.55","Japan","Tokyo Stock Exchange","JPY"
"CWCO","CONSOLIDATED WATER LTD","Utilities","Equity","7,918,712.32","0.36","7,918,712.32","268,978.00","29.44","United States","NASDAQ","USD"
"SUPREMEIND","SUPREME INDUSTRIES LTD","Industrials","Equity","7,779,680.91","0.35","7,779,680.91","226,561.00","34.34","India","National Stock Exchange Of India","INR"
"KEMIRA","KEMIRA","Materials","Equity","7,657,846.35","0.34","7,657,846.35","404,605.00","18.93","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"6490","PILLAR CORP","Materials","Equity","7,562,526.00","0.34","7,562,526.00","117,900.00","64.14","Japan","Tokyo Stock Exchange","JPY"
"2081","ALKHORAYEF WATER & POWER TECHNOLOG","Utilities","Equity","7,085,211.55","0.32","7,085,211.55","233,974.00","30.28","Saudi Arabia","Saudi Stock Exchange","SAR"
"2083","POWER AND WATER UTILITY COMPANY FO","Utilities","Equity","6,813,661.78","0.31","6,813,661.78","673,953.00","10.11","Saudi Arabia","Saudi Stock Exchange","SAR"
"6254","NOMURA MICRO SCIENCE LTD","Industrials","Equity","6,624,856.41","0.30","6,624,856.41","227,000.00","29.18","Japan","Tokyo Stock Exchange","JPY"
